System Code,System Name,Reading Status^ Number Tested,Reading Status^ % Below Grade Level (Lexile < 925L),Reading Status^ % Grade Level  or Above (Lexile ≥ 925L),English Language Arts Number Tested,English Language Arts Mean Scale Score,English Language Arts Standard Deviation,English Language Arts % Beginning Learner,English Language Arts % Developing Learner,English Language Arts % Proficient Learner,English Language Arts % Distinguished Learner,English Language Arts % Developing Learner & Above,English Language Arts % Proficient Learner & Above,SGP English Language Arts Number Received SGP,SGP English Language Arts SGP Median,SGP English Language Arts % SGP Low Growth,SGP English Language Arts % SGP Typical Growth,SGP English Language Arts % SGP High Growth,Mathematics Number Tested,Mathematics Mean Scale Score,Mathematics Standard Deviation,Mathematics % Beginning Learner,Mathematics % Developing Learner,Mathematics % Proficient Learner,Mathematics % Distinguished Learner,Mathematics % Developing Learner & Above,Mathematics % Proficient Learner & Above,SGP Mathematics Number Received SGP,SGP Mathematics SGP Median,SGP Mathematics % SGP Low Growth,SGP Mathematics % SGP Low Growth.1,SGP Mathematics % SGP Low Growth.2
708,OCONEE COUNTY,624.0,15.865384615384615,84.13461538461539,624.0,553.2355769230769,58.85431547258774,9.615384615384615,20.352564102564102,47.11538461538461,22.916666666666668,90.38461538461539,70.03205128205128,593.0,46,38.954468802698145,30.69139966273187,30.354131534569984,,,,,,,,,,,,,,
709,OGLETHORPE COUNTY,171.0,40.35087719298246,59.64912280701754,171.0,506.08187134502924,56.05579435868652,26.900584795321638,32.748538011695906,38.59649122807018,1.7543859649122806,73.09941520467837,40.35087719298246,165.0,53,29.09090909090909,35.75757575757576,35.15151515151515,,,,,,,,,,,,,,
710,PAULDING COUNTY,2400.0,40.333333333333336,59.666666666666664,2400.0,512.87875,62.37736853337098,26.083333333333332,30.25,35.291666666666664,8.375,73.91666666666667,43.666666666666664,2263.0,51,34.24657534246575,30.8882015024304,34.86522315510384,,,,,,,,,,,,,,
711,PEACH COUNTY,315.0,49.84126984126984,50.15873015873016,315.0,491.43809523809523,56.362496646329134,39.04761904761905,30.476190476190474,28.253968253968253,2.2222222222222223,60.95238095238095,30.476190476190474,302.0,47.5,38.741721854304636,25.827814569536425,35.43046357615894,,,,,,,,,,,,,,
712,PICKENS COUNTY,292.0,47.602739726027394,52.397260273972606,292.0,504.81849315068496,63.2976761661191,33.9041095890411,29.45205479452055,28.767123287671232,7.876712328767123,66.0958904109589,36.64383561643836,278.0,55.5,30.93525179856115,26.97841726618705,42.0863309352518,,,,,,,,,,,,,,
713,PIERCE COUNTY,270.0,33.333333333333336,66.66666666666667,270.0,525.1703703703704,67.64322991819402,21.85185185185185,28.51851851851852,34.81481481481482,14.814814814814815,78.14814814814815,49.629629629629626,259.0,55,33.97683397683398,28.185328185328185,37.83783783783784,,,,,,,,,,,,,,
714,PIKE COUNTY,272.0,25.36764705882353,74.63235294117646,272.0,522.6654411764706,55.272573660601665,18.38235294117647,27.573529411764707,47.4264705882353,6.617647058823529,81.61764705882354,54.044117647058826,263.0,56,30.418250950570343,33.840304182509506,35.741444866920155,,,,,,,,,,,,,,
715,POLK COUNTY,537.0,51.76908752327747,48.23091247672253,537.0,489.13966480446925,60.00731493251323,40.4096834264432,30.91247672253259,24.953445065176908,3.7243947858473,59.5903165735568,28.67783985102421,513.0,38,45.419103313840154,27.87524366471735,26.705653021442494,,,,,,,,,,,,,,
716,PULASKI COUNTY,92.0,34.78260869565217,65.21739130434783,92.0,517.945652173913,63.276710319048384,25,26.08695652173913,38.04347826086956,10.869565217391305,75,48.91304347826087,90.0,48.5,32.22222222222222,31.11111111111111,36.666666666666664,,,,,,,,,,,,,,
717,PUTNAM COUNTY,206.0,49.51456310679612,50.48543689320388,206.0,487.6990291262136,54.68889126981001,37.37864077669903,36.407766990291265,24.75728155339806,1.4563106796116505,62.62135922330097,26.21359223300971,198.0,41.5,42.92929292929293,29.7979797979798,27.272727272727273,,,,,,,,,,,,,,
